märus	Määrus
pearahha	pearaha
wõlg	wõlg
45	45
kop	kop
wälja	wälja
makstud	makstud
30	30
aprillil	Aprillil
1890	1890
mihkel	Mihkel
sicht	Sicht
50	50
kop	kop
kokku	kokku
30	30
rbl	rbl
60	60
kop	kop
surnud	Surnud
willem	Willem
li	Lii
essimise	esimise
naese	naese
jula	Juula
warra	wara
olli	oli
mehhele	mehele
minnes	minnes
1	1
lehm	lehm
2	2
lammast	lammast
1	1
wilja	wilja
astas	astas
1	1
kast	kast
1	1
kub	kuub
1	1
üllikond	ülikond
2	2
silikud	siilikud
1	1
sidirätik	siidirätik
ja	ja
7	7
kassuka	kasuka
nahka	nahka
se	see
warra	wara
on	on
ka	ka
kõik	kõik
esnimmetud	eesnimetud
willem	Willem
li	Lii
warrandusega	warandusega
ühhes	ühes
se	see
warra	wara
teb	teeb
rahaks	rahaks
arwatud	arwatud
välja	välja
1	1
leh	leh
10	10
rbl	rbl
2	2
lammas	lammas
3	3
rbl	rbl
50	50
kop	kop
1	1
wilja	wilja
astas	astas
2	2
rbl	rbl
1	1
kast	kast
50	50
kop	kop
1	1
kub	kuub
5	5
rbl	rbl
1	1
üllikond	ülikond
3	3
rbl	rbl
2	2
silikud	siilikud
4	4
rbl	rbl
1	1
sidirätik	siidirätik
2	2
rbl	rbl
50	50
kop	kop
7	7
kassuka	kasuka
nahka	nahka
3	3
rbl	rbl
50	50
kop	kop
kokku	kokku
34	34
rbl	rbl
sestema	Sestema
warandusest	warandusest
on	on
surnud	surnud
willem	Willem
li	Lii
riddala	Ridala
kihhelkonna	kihelkonna
kohtusse	kohtusse
hoida	hoida
annud	annud
pojja	poja
pridu	Priidu
heaks	heaks
3	3
rubla	Rubla
ja	ja
tüttar	tüttar
lena	Leena
heaks	heaks
3	3
rubla	Rubla
ja	ja
sis	siis
jäb	jääb
wel	weel
emma	ema
warra	wara
üllewel	ülewel
nimmetud	nimetud
summast	summast
järrele	järele
28	28
rubla	Rubla
üllepea	ülepea
et	Et
ned	need
tina	Tiina
hole	hoole
alla	alla
antud	antud
ja	ja
asjad	asjad
kõik	kõik
sin	siin
wallas	wallas
ei	ei
olle	ole
waid	waid
hapsallus	Haapsalus
jäi	jäi
se	see
jäutamise	jäutamise
assi	asi
senniks	senniks
kui	kui
tina	Tiina
neid	neid
sab	saab
sia	siia
walda	walda
surnud	surnud
willem	Willem
li	Lii
majjasse	majasse
taggasi	tagasi
tonud	toonud
sis	Siis
sawad	saawad
ned	need
asjad	asjad
kohtu	kohtu
polt	poolt
ülewadetud	ülewaadetud
ja	ja
ärajäutud	ärajäutud
protokoll	Protokoll
n	N
31	31
asjus	asjus
olli	oli
andres	Andres
mitt	Mitt
ette	ette
tulnud	tulnud
ja	ja
sai	sai
temmale	temale
kulutud	kuulutud
et	et
rentnik	rentnik
joh	Joh
thal	Thal
tedda	teda
tullewa	tulewa
jurri	Juri
päewast	päewast
omma	oma
kohha	koha
pealt	pealt
lahti	lahti
lasseb	laseb
protokoll	Protokoll
n	N
129	129
asjus	asjus
1884	1884
astast	aastast
tulli	tuli
metsasaks	metsasaks
oscar	Oscar
berger	Berger
kohtu	kohtu
ette	ette
ja	ja
andis	andis
ülles	üles
et	et
ned	need
põllu	põllu
kui	kui
ka	ka
heinama	heinamaa
puduse	puuduse
tassumise	tasumise
nõudmised	nõudmised
jäwad	jääwad
linna	linna
wallitsuse	walitsuse
polt	poolt
nõudmata	nõudmata
ka	ka
1	1
2	2
wakama	wakama
orraste	oraste
pudus	puudus
agga	aga
tõene	tõene
pärrimine	pärimine
naggu	nagu
2	2
wakama	wakamaa
rukiorraste	rukioraste
pudus	puudus
ja	ja
20	20
rubla	rubla
rendi	rendi
ja	ja
5	5
rubla	rubla
ritterschafti	ritterschafti
maks	maks
jäeb	jäeb
nõuda	nõuda
wimse	Wiimse
asta	aasta
rent	rent
on	on
220	220
rubla	rubla
olnud	olnud
200	200
rubla	rubla
on	on
ärra	ära
maksnud	maksnud
agga	aga
20	20
rubla	rubla
wõlgu	wõlgu
jätnud	jätnud
jan	Jaan
sar	Saar
pudus	puudus
wata	Waata
n	N
13	13
kohtu	Kohtu
korra	korra
pärast	pärast
ollid	olid
pirsalu	Piirsalu
walla	walla
kohtu	kohtu
hones	hoones
kokku	kokku
tulnud	tulnud
kohtuwanem	kohtuwanem
karel	Kaarel
willand	Willand
kõrwames	Kõrwamees
juhhan	Juhan
windling	Windling
mart	Mart
koppel	Koppel
kohtu	Kohtu
käijad	käijad
ei	ei
olnud	olnud
egga	ega
tulnud	tulnud
ka	ka
mingisugust	mingisugust
selletamisi	seletamisi
asju	asju
ette	ette
kohtuwanem	Kohtuwanem
karrel	Karel
willand	Willand
xxx	XXX
kõrwamehed	Kõrwamehed
juhhan	Juhan
windling	Windling
xxx	XXX
mart	Mart
koppel	Koppel
xxx	XXX
kohtu	Kohtu
korra	korra
pärast	pärast
ollid	olid
pirsalu	Piirsalu
walla	walla
kohtu	kohtu
hones	hoones
kokku	kokku
tulnud	tulnud
kohtuwanem	Kohtuwanem
karrel	Karel
willand	Willand
kõrwames	Kõrwamees
juhhan	Juhan
windling	Windling
mart	Mart
koppel	Koppel
kohtu	Kohtu
käijad	käijad
ei	ei
olnud	olnud
egga	ega
tulnud	tulnud
ka	ka
mingisugust	mingisugust
selletamisi	seletamisi
asju	asju
ette	ette
kohtuwanem	Kohtuwanem
karrel	Karel
willand	Willand
xxx	XXX
kõrwames	Kõrwamees
juhhan	Juhan
windling	Windling
xxx	XXX
mart	Mart
koppel	Koppel
xxx	XXX
tulli	Tuli
ette	ette
jan	Jaan
pelmann	Peelmann
selli	Selli
wallast	wallast
ja	ja
maksis	maksis
15	15
wisteistkümmend	wiisteistkümmend
rubla	rubla
hans	Hans
lane	Laane
waeste	waeste
laste	laste
heaks	heaks
sisse	sisse
ja	ja
pallus	palus
sedda	seda
protokolli	protokolli
panna	panna
peakohtumes	Peakohtumees
jakob	Jakob
tõnnison	Tõnnison
xxx	XXX
kohtumes	kohtumees
andres	Andres
bachson	Bachson
xxx	XXX
jan	Jaan
busch	Busch
xxx	XXX
tulli	Tuli
ette	ette
pilleti	pileti
soldat	soldat
jakob	Jakob
rand	Rand
ja	ja
andis	andis
ülles	üles
et	et
temma	tema
ommale	omale
2	2
asta	aasta
est	eest
on	on
kirwega	kirwega
jalla	jala
sisse	sisse
raiunud	raiunud
koggemata	kogemata
pallub	palub
sedda	seda
protokolli	protokolli
panna	panna
otsuseks	Otsuseks
tehtud	tehtud
sedda	seda
õigeks	õigeks
tunnistada	tunnistada
ja	ja
protokolli	protokolli
panna	panna
peakohtumes	Peakohtumees
jakob	Jakob
tõnnison	Tõnison
xxx	XXX
kohtumes	kohtumees
andres	Andres
bachson	Bachson
xxx	XXX
kohtumes	kohtumees
jan	Jaan
busch	Busch
xxx	XXX
tulli	Tuli
ette	ette
perremes	peremees
jakob	Jakob
martsonselli	MartsonSelli
wallast	wallast
ja	ja
pallus	palus
protokolli	protokolli
kirjutada	kirjutada
et	et
ta	ta
omma	oma
pojja	poja
jakobi	Jakobi
kes	kes
11	11
astad	aastad
wanna	wana
omma	oma
õe	õe
ann	Ann
martsonile	Martsonile
on	on
kassupojaks	kasupojaks
annud	annud
otsus	Otsus
sedda	Seda
protokolli	protokolli
kirjutada	kirjutada
sell	Sell
sammal	sammal
korral	korral
andis	andis
wallawahemes	wallawahemees
jan	Jaan
johhanson	Johanson
ülles	üles
et	et
on	on
tannuwa	tanuwa
asta	aasta
wallakohtumajja	wallakohtumaja
platsi	platsi
peale	peale
ühhe	ühe
keldre	keldre
ehhitanud	ehitanud
ja	ja
temmal	temal
on	on
seal	seal
jures	juures
järgmised	järgmised
kullud	kulud
läinud	läinud
pallub	palub
sedda	seda
protokolli	protokolli
kirjutada	kirjutada
et	et
kui	kui
juhtub	juhtub
wahhemehhe	wahemehe
ammetit	ametit
mahha	maha
jätma	jätma
et	et
sis	siis
selle	selle
keldre	keldre
ehhituse	ehituse
est	eest
tassutud	tasutud
saks	saaks
5	5
wakka	wakka
lupja	lupja
a	a
40	40
kop	kop
2	2
rubla	rubla
kp	kp
21	21
lauda	lauda
a	a
75	75
kop	kop
15	15
75	75
laepud	laepuud
80	80
naelad	Naelad
75	75
2	2
ukse	ukse
hinged	hinged
80	80
5	5
päewa	päewa
törahha	tööraha
ühhe	ühe
mehhele	mehele
2	2
50	50
summa	Summa
22	22
rubla	rubla
60	60
kp	kp
otsus	Otsus
sedda	Seda
ülles	üles
andmist	andmist
õigeks	õigeks
tunnistada	tunnistada
ja	ja
protokolli	protokolli
kirjutada	kirjutada
peakohtumes	Peakohtumees
jakob	Jakob
tõnnisson	Tõnnisson
allkirri	allkiri
kohtumes	kohtumees
antres	Antres
pahkson	Pahkson
allkirri	allkiri
jan	Jaan
pucs	Pucs
allkirri	allkiri
kirjutaja	Kirjutaja
j. lasn	J. Lasn
allkirri	allkiri
protokoll	Protokoll
n	N
22	22
asjus	asjus
s	s
a.	a.
tulli	Tuli
raisnikko	Raisnikko
tõnnis	Tõnis
klassen	Klaassen
kutsumise	kutsumise
peale	peale
kohtu	kohtu
ette	ette
ja	ja
ei	ei
olnud	olnud
temmal	temal
omma	oma
rendi	rendi
wõlla	wõla
102	102
rubla	rubla
62	62
kopiku	kopiku
tasumiseks	tasumiseks
suggugi	sugugi
mahha	maha
maksa	maksa
egga	ega
wõinud	wõinud
ka	ka
termini	termini
nimmetada	nimetada
millal	millal
ta	ta
sedda	seda
wõlga	wõlga
tassuma	tasuma
sab	saab
sest	sest
sai	Sai
mõistetud	mõistetud
tõnnis	Tõnis
klassen	Klaassen
omma	oma
wõlga	wõlga
kunni	kuni
16.	16.
märzini	Märzini
s	s
a.	a.
wel	weel
ärra	ära
maksnud	maksnud
ei	ei
olle	ole
sis	siis
sab	saab
temma	tema
warandusest	warandusest
se	see
rahha	raha
102	102
rubla	rubla
62	62
kopik	kopik
27.	27.
märtsil	Märtsil
s	s
a.	a.
risumise	riisumise
läbbi	läbi
sisse	sisse
nõutud	nõutud
otsus	Otsus
kulutud	kuulutud
wata	Waata
protok	protok
n	N
49	49
astus	Astus
ette	ette
jurri	Juri
ak	Aak
ja	ja
kaebas	kaebas
et	et
temmal	temal
olla	olla
jan	Jaan
lismanni	Liismanni
käest	käest
kedda	keda
ta	ta
teninud	teeninud
vimse	viimse
asta	aasta
palga	palga
rahha	raha
25	25
rubla	rubla
ja	ja
laenu	laenu
rahha	raha
mis	mis
1884	1884
astal	aastal
annud	annud
13.	13.
ja	ja
ühhe	ühe
asta	aasta
pearahha	pearaha
5.	5.
summa	Summa
43	43
rubla	rubla
sada	saada
midda	mida
nimmetud	nimetud
jan	Jaan
lismanni	Liismanni
käest	käest
kohtu	kohtu
läbbi	läbi
kätte	kätte
nõuab	nõuab
sest	sest
et	et
se	see
heaga	heaga
mitte	mitte
maksa	maksa
ei	ei
tahta	tahta
tunnistus	Tunnistus
selle	selle
pärrimise	pärimise
jures	juures
olla	olla
mart	Mart
läti	Läti
jan	Jaan
lismann	Liismann
ja	ja
märt	Märt
läti	Läti
pudusiwad	puudusiwad
wata	Waata
protokoll	protokoll
n	N
lismanni	Liismanni
ellukoht	elukoht
tädmata	täädmata
astus	Astus
ette	ette
sindist	Sindist
ann	Ann
jakobson	Jakobson
ja	ja
kaebas	kaebas
et	et
karl	Karl
kumm	Kumm
olla	olla
suil	suil
temma	tema
käest	käest
1	1
rubla	rubla
hõb	hõb
laenanud	laenanud
ja	ja
nüid	nüid
ärra	ära
ei	ei
tahta	tahta
maksa	maksa
selle	Selle
peale	peale
wastas	wastas
karl	Karl
kumm	Kumm
et	et
se	see
kaebdus	kaebdus
õige	õige
on	on
agga	aga
peale	peale
selle	selle
olla	olla
ann	Ann
jakobsoni	Jakobsoni
poeg	poeg
jan	Jaan
temma	tema
käest	käest
2	2
rubla	rubla
laenanud	laenanud
ja	ja
ka	ka
alles	alles
wõlga	wõlga
olla	olla
sai	Sai
mõistetud	mõistetud
karl	Karl
jakobsonile	Jakobsonile
ärra	ära
maksma	maksma
ja	ja
omma	oma
wõlga	wõlga
jan	Jaan
jakobsoni	Jakobsoni
käest	käest
pärrima	pärima
otsus	Otsus
kulutud	kuulutud
sindist	Sindist
jurri	Juri
magnus	Magnus
tulli	tuli
kohtu	kohtu
ette	ette
ja	ja
kaebas	kaebas
et	et
andres	Andres
nurm	Nurm
1sel	1sel
aprillil	Aprillil
1884	1884
temma	tema
poea	poea
ommale	omale
karjatseks	karjatseks
wõtnud	wõtnud
ja	ja
1	1
näddal	nädal
enne	enne
jõulu	jõulu
jälle	jälle
ärra	ära
tonud	toonud
kus	kus
ta	ta
ommeti	ometi
tedda	teda
talwe	talwe
ülekolitama	ülekoolitama
oleks	oleks
piddanud	pidanud
ja	ja
nõuab	nõuab
temma	tema
nüid	nüid
igga	iga
näddala	nädala
est	eest
mis	mis
nurmi	Nurmi
jures	juures
ollema	olema
piddanud	pidanud
oleks	oleks
1	1
rubla	rubla
astus	Astus
ette	ette
andres	Andres
nurm	Nurm
kes	kes
jurri	Juri
magnuse	Magnuse
naese	naese
wend	wend
ja	ja
wastas	wastas
et	et
poiss	poiss
on	on
wägga	wäga
üleanetu	üleanetu
olnud	olnud
ja	ja
se	see
pärast	pärast
ta	ta
ärra	ära
satnud	saatnud
suil	Suil
olla	olla
ta	ta
mitte	mitte
pahha	paha
teinud	teinud
ja	ja
nüid	nüid
talwel	talwel
rahhakoti	rahakoti
ärra	ära
lõhkunud	lõhkunud
ja	ja
sulle	sule
pea	pea
ärra	ära
warrastanud	warastanud
sai	Sai
mõistetud	mõistetud
et	Et
andres	Andres
nurm	Nurm
oleks	oleks
jurri	Juri
magnuse	Magnuse
poega	poega
kunni	kuni
küinla	küinla
päewani	päewani
s	s
a.	a.
kolitama	koolitama
piddanud	pidanud
maksab	maksab
nüid	nüid
selle	selle
kue	kuue
näddala	nädala
est	eest
50	50
kopik	kopik
näddala	nädala
pealt	pealt
jurri	Juri
magnusele	Magnusele
ülle	üle
pea	pea
3	3
rubla	rubla
sögi	söögi
rahha	raha
8	8
päewa	päewa
pärast	pärast
otsus	Otsus
kulutud	kuulutud
astus	Astus
ette	ette
tammiste	Tammiste
mõisast	mõisast
hendrek	Hendrek
waltri	Waltri
naine	naine
anna	Anna
ja	ja
kaebas	kaebas
et	et
jurri	Juri
mil	Miil
kes	kes
praegust	praegust
sindis	Sindis
ellab	elab
1	1
1	1
2	2
asta	aasta
est	eest
temma	tema
käest	käest
5	5
rubla	rubla
laenanud	laenanud
asta	aasta
pärast	pärast
2	2
1	1
2	2
rubla	rubla
ärra	ära
maksnud	maksnud
ja	ja
pol	pool
s	s
a.	a.
2	2
1	1
2	2
rubla	rubla
alles	alles
maksmata	maksmata
astus	Astus
ette	ette
jurri	Juri
mil	Miil
ja	ja
wastas	wastas
et	et
se	see
tõssi	tõsi
olla	olla
et	et
ta	ta
5	5
rubla	rubla
anna	Anna
waltri	Waltri
käest	käest
wõtnud	wõtnud
agga	aga
sedda	seda
olla	olla
ta	ta
jakob	Jakob
ebberhardi	Eberhardi
palwe	palwe
peale	peale
jakob	Jakob
ebberhardile	Eberhardile
merre	mere
mõrrade	mõrrade
ostmiseks	ostmiseks
laenanud	laenanud
ja	ja
sega	seega
se	see
wõlg	wõlg
temma	tema
tassuda	tasuda
olla	olla
kunna	kuna
ta	ta
2	2
1	1
2	2
rubla	rubla
muidugi	muidugi
omast	omast
taskust	taskust
kaotanud	kaotanud
olla	olla
astus	Astus
ette	ette
jakob	Jakob
ebberhard	Eberhard
tammistest	Tammistest
ja	ja
wastas	wastas
küssimise	küsimise
peale	peale
et	et
temma	tema
mitte	mitte
polle	pole
jurri	Juri
mili	Miili
ennesele	enesele
merre	mere
mõrrade	mõrrade
ostmiseks	ostmiseks
rahha	raha
laenata	laenata
lasknud	lasknud
waid	waid
sedda	seda
olla	olla
ta	ta
isse	ise
teinud	teinud
ja	ja
mõrrad	mõrrad
olla	olla
ka	ka
praegugi	praegugi
mili	Miili
käes	käes
sai	Sai
mõistetud	mõistetud
jurri	Juri
mil	Miil
maksab	maksab
8	8
päewa	päewa
pärast	pärast
2	2
rubla	rubla
50	50
kopik	kopik
anna	Anna
waltri	Waltri
heaks	heaks
sia	siia
wälja	wälja
otsus	Otsus
kulutud	kuulutud
rahhule	Rahule
jänud	jäänud
wata	Waata
n	N
59 1886	59 1886
astus	Astus
ette	ette
pärnust	Pärnust
mölder	mölder
jurri	Juri
wärat	Wärat
ja	ja
kaebas	kaebas
et	et
temmal	temal
olla	olla
sindi	Sindi
wabrikus	wabrikus
kangur	kangur
jurri	Juri
liberg	Liiberg
käest	käest
sada	saada
antud	antud
rahha	raha
3	3
rubla	rubla
ja	ja
2	2
1	1
2	2
wakka	wakka
jahhude	jahude
rahha	raha
7.75	7.75
kopik	kopik
summa	Summa
10.75	10.75
kop	kop
midda	mida
kohtu	kohtu
läbbi	läbi
kätte	kätte
nõuab	nõuab
astus	Astus
ette	ette
jurri	Juri
liberg	Liiberg
ja	ja
wastas	wastas
küssimise	küsimise
peale	peale
et	et
se	see
jurri	Juri
wärat	Wärat
pärrimine	pärimine
õige	õige
olla	olla
agga	aga
et	et
jurri	Juri
wärat	Wärat
tedda	teda
jurri	Juri
liberg	Liiberg
omma	oma
onnu	onu
hobbuse	hobuse
warguse	warguse
jure	juure
tunnistuseks	tunnistuseks
ülles	üles
annud	annud
on	on
ja	ja
se	see
ka	ka
temmale	temale
jurri	Juri
wärratu	Wäratu
läbbi	läbi
ta	ta
kohtu	kohtu
käimise	käimise
kullud	kulud
tassuda	tasuda
tõutannud	tõutanud
ja	ja
et	et
nüid	nüid
temma	tema
ka	ka
pärnu	Pärnu
ja	ja
wiljandis	Wiljandis
käimisega	käimisega
16	16
päewa	päewa
ärra	ära
witnud	wiitnud
on	on
mille	mille
tasumiseks	tasumiseks
ta	ta
nad	nad
jurri	Juri
wärratu	Wäratu
käest	käest
sadud	saadud
rahha	raha
ja	ja
jahhud	jahud
arwanud	arwanud
on	on
ja	ja
sellest	sellest
keddagi	kedagi
ennam	enam
taggasi	tagasi
tassuda	tasuda
ei	ei
wõi	wõi
egga	ega
jõua	jõua
se	See
peale	peale
wastas	wastas
jurri	Juri
wärat	Wärat
et	et
se	see
tõssi	tõsi
on	on
et	et
temma	tema
onnu	onu
jurri	Juri
waltmann	Waltmann
tedda	teda
jurri	Juri
libergile	Liibergile
ta	ta
waewa	waewa
tassuda	tasuda
käskinud	käskinud
agga	aga
et	et
temma	tema
onnu	onu
talle	talle
sedda	seda
jurri	Juri
libergile	Liibergile
antud	antud
rahha	raha
ja	ja
jahhu	jahu
mitte	mitte
taggasi	tagasi
tassuda	tasuda
se	see
pärast	pärast
nõuab	nõuab
ta	ta
libergi	Liibergi
käest	käest
omma	oma
kätte	kätte
sai	Sai
arwatud	arwatud
jurri	Juri
waltmann	Waltmann
kastnast	Kastnast
kükita	Kükita
talust	talust
tulleb	tuleb
sia	siia
ette	ette
nõuda	nõuda
wata	Waata
protokoll	protokoll
n	N
47.	47.
protokoll	Protokoll
n	N
22	22
alt	alt
olli	oli
jurri	Juri
lorents	Loorents
ette	ette
tulnud	tulnud
agga	aga
omma	oma
rendi	rendi
wõlga	wõlga
27	27
rbl	rbl
24	24
kop	kop
mitte	mitte
ette	ette
liggi	ligi
tonud	toonud
egga	ega
wõinud	wõinud
selle	selle
wõlla	wõla
tasumiseks	tasumiseks
ka	ka
termini	termini
mitte	mitte
nimmetada	nimetada
mõistus	Mõistus
tulleb	Tuleb
27.	27.
märtsil	Märtsil
risumise	riisumise
läbbi	läbi
jurri	Juri
lorrentsilt	Lorentsilt
ta	ta
rendi	rendi
wõlg	wõlg
27	27
rubla	rubla
24	24
kop	kop
sisse	sisse
nõuda	nõuda
otsus	Otsus
kulutud	kuulutud
lissa	Lisa
wõlglased	wõlglased
naggu	nagu
sepa	Sepa
mihkel	Mihkel
pulst	Pulst
ja	ja
raisnikko	Raisnikko
jan	Jaan
jantson	Jantson
pudusiwad	puudusiwad
wata	Waata
n	N
49	49
astus	Astus
ette	ette
sindi	Sindi
pustuski	Pustuski
mõisa	mõisa
kubjas	kubjas
mihkel	Mihkel
mihkelson	Mihkelson
ja	ja
kaebas	kaebas
et	et
webruari	Webruari
kul	kuul
ühhel	ühel
õhtul	õhtul
olla	olla
wabriku	wabriku
pude	puude
wedamiselt	wedamiselt
koeo	koeo
tulles	tulles
peter	Peter
enn	Enn
kes	kes
jan	Jaan
jürwetsoniga	Jürwetsoniga
mõllemad	mõlemad
mõisa	mõisa
sullased	sulased
omma	oma
wolliga	woliga
2	2
tundi	tundi
teistest	teistest
hiljemaks	hiljemaks
sindi	Sindi
wabriku	wabriku
trahteris	trahteris
wibinud	wiibinud
te	tee
peal	peal
hobbusega	hobusega
tuhat-nelja	tuhat-nelja
möda	mööda
aeada	aeada
tahtnud	tahtnud
ja	ja
kui	kui
temma	tema
tedda	teda
taggasi	tagasi
hoida	hoida
sanud	saanud
sis	siis
kippunud	kippunud
ta	ta
wäe	wäe
kombel	kombel
russikaga	rusikaga
lüa	lüüa
tahtes	tahtes
temma	tema
kallale	kallale
kelle	kelle
hobide	hoobide
est	eest
tedda	teda
agga	aga
juhhan	Juhan
oberpal	Oberpaal
kaitsta	kaitsta
wõtnud	wõtnud
kui	Kui
nüid	nüid
ta	ta
peter	Peter
ennest	Ennest
rahhu	rahu
sanud	saanud
sis	siis
tulnud	tulnud
jan	Jaan
jürwetson	Jürwetson
ja	ja
kippunud	kippunud
temma	tema
kallale	kallale
ja	ja
nõnda	nõnda
tedda	teda
üks	üks
5	5
wersta	wersta
mad	maad
seltsis	seltsis
tedda	teda
tüllitanud	tülitanud
millega	millega
temma	tema
mitte	mitte
rahhul	rahul
ei	ei
olle	ole
sest	sest
et	et
suggugi	sugugi
ennam	enam
omma	oma
te	tee
käimise	käimise
ja	ja
mõisa	mõisa
tö	töö
korra	korra
piddamise	pidamise
jures	juures
julge	julge
ei	ei
wõi	wõi
olla	olla
ning	ning
pallub	palub
nimmetud	nimetud
mehhi	mehi
säedusliku	säedusliku
karristuse	karistuse
alla	alla
panna	panna
tunnistus	Tunnistus
temma	tema
kaebduse	kaebduse
tõenduseks	tõenduseks
on	on
juhhan	Juhan
oberpal	Oberpaal
ja	ja
jurri	Juri
ak	Aak
astus	Astus
ette	ette
jurri	Juri
ak	Aak
ja	ja
tunnistas	tunnistas
et	et
temma	tema
sedda	seda
näinud	näinud
ei	ei
olle	ole
kui	kui
peter	Peter
enn	Enn
mihkel	Mihkel
mihkelsoni	Mihkelsoni
kallale	kallale
kippunud	kippunud
on	on
sedda	seda
agga	aga
küll	küll
näinud	näinud
kui	kui
jan	Jaan
jürwetson	Jürwetson
temmale	temale
mihkel	Mihkel
mihkelsonile	Mihkelsonile
takka	takka
järrele	järele
joksnud	jooksnud
kedda	keda
se	see
pitsaga	piitsaga
wasto	wasto
tõrjudes	tõrjudes
enesest	enesest
emale	eemale
tõrjunud	tõrjunud
peter	Peter
enn	Enn
olla	olla
temma	tema
re	ree
peale	peale
tulnud	tulnud
ja	ja
kaebanud	kaebanud
et	et
temma	tema
tahta	tahta
mihkel	Mihkel
mihkelsoni	Mihkelsoni
käest	käest
küssida	küsida
kuhhu	kuhu
se	see
temma	tema
pastla	pastla
pannud	pannud
on	on
temma	tema
agga	aga
tedda	teda
kunni	kuni
koeo	koeo
sõidatanud	sõidatanud
juhhan	Juhan
oberpal	Oberpaal
pudus	puudus
sai	Sai
arwatud	arwatud
säeb	Säeb
14	14
märtsiks	Märtsiks
se	see
assi	asi
selletada	seletada
wata	Waata
protokoll	protokoll
n	N
33	33
astus	Astus
ette	ette
hendrek	Hendrek
reinhold	Reinhold
ja	ja
kaebas	kaebas
et	et
jan	Jaan
sar	Saar
olla	olla
temma	tema
2	2
heina	heina
kohja	kohja
omma	oma
lubbaga	lubaga
ärra	ära
tonud	toonud
ja	ja
nimelt	nimelt
1	1
kohhe	kohe
olnud	olnud
1	1
korem	koorem
sur	suur
ülleminewa	üleminewa
astasi	aastasi
heinu	heinu
ja	ja
i	II
kohhe	kohe
olnud	olnud
2	2
kormad	koormad
sur	suur
minnewa	minewa
suisid	suisid
heinu	heinu
midda	mida
jan	Jaan
sar	Saar
käest	käest
taggasi	tagasi
nõuab	nõuab
astus	Astus
ette	ette
mihkel	Mihkel
mihkelson	Mihkelson
ja	ja
tunnistas	tunnistas
küssimise	küsimise
peale	peale
et	et
temma	tema
olla	olla
ka	ka
sedda	seda
minnewa	minewa
suist	suist
heina	heina
kohja	kohja
näinud	näinud
mis	mis
umbes	umbes
rohkeste	rohkeste
korem	koorem
heinu	heinu
sur	suur
olnud	olnud
astus	Astus
ette	ette
jan	Jaan
sar	Saar
ja	ja
wastas	wastas
küssimise	küsimise
peale	peale
et	et
minnewa	minewa
suisid	suisid
heinu	heinu
on	on
temma	tema
natuke	natuke
rohkem	rohkem
kui	kui
ühhe	ühe
korma	koorma
sanud	saanud
ja	ja
ülleminewa	üleminewa
astasi	aastasi
ni	nii
palju	palju
sis	siis
wel	weel
jure	juure
wõtnud	wõtnud
et	et
ühte	ühte
kokku	kokku
2	2
parajat	parajat
kormad	koormad
sanud	saanud
mis	mis
hendrek	Hendrek
reinhold	Reinhold
temmale	temale
isse	ise
lubbanud	lubanud
se	see
est	eest
et	et
temma	tema
1	1
lehm	lehm
ja	ja
2	2
lammast	lammast
tõise	tõise
asta	aasta
talwe	talwe
läbbi	läbi
temma	tema
jan	Jaan
sare	Saare
põhhu	põhu
ülles	üles
petud	peetud
sanud	saanud
selle	Selle
peale	peale
wastas	wastas
hendrek	Hendrek
reinhold	Reinhold
et	et
temmal	temal
on	on
ennesel	enesel
lehma	lehma
jaoks	jaoks
heinu	heinu
tehtud	tehtud
olnud	olnud
ja	ja
muidu	muidu
natuke	natuke
jan	Jaan
sare	Saare
käest	käest
põhku	põhku
sanud	saanud
mis	mis
est	eest
minnewa	minewa
kewwadel	kewadel
ühhe	ühe
korma	koorma
heinu	heinu
lubbanud	lubanud
ja	ja
selle	selle
kohja	kohja
kust	kust
jan	Jaan
sar	Saar
ned	need
heinad	heinad
tob	toob
ka	ka
kätte	kätte
näidanud	näidanud
agga	aga
mitte	mitte
usi	uusi
heinu	heinu
mis	mis
suil	suil
teb	teeb
temmale	temale
lubbanud	lubanud
sai	Sai
mõistetud	mõistetud
et	Et
jan	Jaan
sar	Saar
peab	peab
selle	selle
korma	koorma
minnewa	minewa
suisid	suisid
heinu	heinu
hendrek	Hendrek
reinholdile	Reinholdile
ni	nii
kohhe	kohe
kätte	kätte
andma	andma
otsus	Otsus
kulutud	kuulutud
protokoll	Protokoll
n	N
29	29
asjus	asjus
olli	oli
juhhan	Juhan
oberpal	Oberpaal
ette	ette
tulnud	tulnud
ja	ja
tunnistas	tunnistas
et	et
mihkel	Mihkel
mihkelsoni	Mihkelsoni
kaebdus	kaebdus
õige	õige
olla	olla
sest	sest
peter	Peter
enn	Enn
olla	olla
küll	küll
mihkel	Mihkel
mihkelsoni	Mihkelsoni
kallale	kallale
kippunud	kippunud
ka	ka
jan	Jaan
jürwetson	Jürwetson
kes	kes
mõllemad	mõlemad
jobnud	joobnud
olnud	olnud
agga	aga
lüia	lüia
polle	pole
nad	nad
mihkelsoni	Mihkelsoni
mitte	mitte
sanud	saanud
astus	Astus
ette	ette
jan	Jaan
jürwetson	Jürwetson
ja	ja
wastas	wastas
et	et
temma	tema
on	on
jobnuks	joobnuks
jänud	jäänud
ja	ja
tahtnud	tahtnud
mihkelsoni	Mihkelsoni
käest	käest
sedda	seda
andeks	andeks
palluda	paluda
agga	aga
lüia	lüia
tedda	teda
